fecha,Visitantes totales
2014-09-10,40139
2014-09-11,38995
2014-09-12,37979
2014-09-13,31285
2014-09-14,25234
2014-09-15,41046
2014-09-16,40569
2014-09-17,40052
2014-09-18,41402
2014-09-19,37187
2014-09-20,31703
2014-09-21,25472
2014-09-22,46364
2014-09-23,41295
2014-09-24,36611
2014-09-25,46646
2014-09-26,35249
2014-09-27,21206
2014-09-28,27029
2014-09-29,37927
2014-09-30,38742
2014-10-01,39692
2014-10-02,34673
2014-10-03,35107
2014-10-04,26375
2014-10-05,25315
2014-10-06,37449
2014-10-07,34651
2014-10-08,33823
2014-10-09,32452
2014-10-10,34141
2014-10-11,26204
2014-10-12,22605
2014-10-13,33147
2014-10-14,39402
2014-10-15,30735
2014-10-16,28971
2014-10-17,29426
2014-10-18,19955
2014-10-19,16033
2014-10-20,28547
2014-10-21,26839
2014-10-22,35138
2014-10-23,25435
2014-10-24,25188
2014-10-25,18395
2014-10-26,13526
2014-10-27,24473
2014-10-28,25744
2014-10-29,22037
2014-10-30,19968
2014-10-31,20125
2014-11-01,7607
2014-11-02,6071
2014-11-03,14201
2014-11-04,11171
2014-11-05,13321
2014-11-06,13028
2014-11-07,13710
2014-11-08,7927
2014-11-09,4811
2014-11-10,12484
2014-11-11,12189
2014-11-12,12489
2014-11-13,12378
2014-11-14,12562
2014-11-15,6691
2014-11-16,4296
2014-11-17,12162
2014-11-18,11733
2014-11-19,11756
2014-11-20,11862
2014-11-21,11961
2014-11-22,6552
2014-11-23,3945
2014-11-24,11277
2014-11-25,11218
2014-11-26,10677
2014-11-27,11387
2014-11-28,11922
2014-11-29,5725
2014-11-30,3072
2014-12-01,9601
2014-12-02,9983
2014-12-03,10543
2014-12-04,10588
2014-12-05,11407
2014-12-06,4957
2014-12-07,3641
2014-12-08,4102
2014-12-09,10174
2014-12-10,10652
2014-12-11,10816
2014-12-12,11307
2014-12-13,6182
2014-12-14,3358
2014-12-15,9678
2014-12-16,9968
2014-12-17,10718
2014-12-18,10642
2014-12-19,11203
